YouTubeID,Section,Song,Shazams,Previous,Last Update
,DEADLINE,JUMP,2201374,,07/03/2026
,DEADLINE,GO,36661,,07/03/2026
,DEADLINE,Me & My,9100,,07/03/2026
,DEADLINE,Champion,14284,,07/03/2026
,DEADLINE,Fxxxboy,4154,,07/03/2026
,BORN PINK,Pink Venom,1811226,1808405,07/03/2026
,BORN PINK,Shut Down,1077781,1076276,07/03/2026
,BORN PINK,Typa Girl,444932,444240,07/03/2026
,BORN PINK,Ready For Love,323193,322709,07/03/2026
,BORN PINK,Tally,286342,285961,07/03/2026
,BORN PINK,Hard To Love,170288,170017,07/03/2026
,BORN PINK,Yeah Yeah Yeah,164595,164184,07/03/2026
,BORN PINK,The Happiest Girl,144914,144650,07/03/2026
,THE ALBUM,How You Like That,3776259,3773158,07/03/2026
,THE ALBUM,Ice Cream - BLACKPINK & Selena Gomez,1600278,1598379,07/03/2026
,THE ALBUM,Lovesick Girls,1110620,1108727,07/03/2026
,THE ALBUM,Pretty Savage,835343,834276,07/03/2026
,THE ALBUM,Love To Hate Me,512194,511762,07/03/2026
,THE ALBUM,Crazy Over You,430242,429781,07/03/2026
,THE ALBUM,Bet You Wanna (feat. Cardi B),312405,312135,07/03/2026
,THE ALBUM,You Never Know,286972,286608,07/03/2026
,KILL THIS LOVE - EP,Kill This Love,3102067,3100170,07/03/2026
,KILL THIS LOVE - EP,Don't Know What To Do,544684,543942,07/03/2026
,KILL THIS LOVE - EP,Kick It,267468,267217,07/03/2026
,KILL THIS LOVE - EP,Hope Not,124429,124249,07/03/2026
,KILL THIS LOVE - EP,DDU-DU DDU-DU (Remix),93951,93871,07/03/2026
,SQUARE UP,DDU-DU DDU-DU,2118344,2116483,07/03/2026
,SQUARE UP,Forever Young,677687,676941,07/03/2026
,SQUARE UP,See U Later,283895,283455,07/03/2026
,SQUARE UP,Really,181075,180828,07/03/2026
,SQUARE TWO,PLAYING WITH FIRE,949667,,07/03/2026
,SQUARE TWO,STAY,362697,,07/03/2026
,SQUARE TWO,WHISTLE (Acoustic Ver.),24118,,07/03/2026
,SQUARE ONE,WHISTLE,1107863,1107465,07/03/2026
,SQUARE ONE,BOOMBAYAH,1804810,1786901,07/03/2026
,Others,AS IF IT'S YOUR LAST,1710603,1692322,07/03/2026
,Others,Sour Candy - Lady Gaga & BLACKPINK,824524,,07/03/2026
,Others,THE GIRLS (BLACKPINK THE GAME OST),310642,,07/03/2026
,Others,Kiss and Make Up - Dua Lipa & BLACKPINK,2730051,2722107,07/03/2026
